include,site_code,context_label,context_short,component,source_model,source_file,start_node,end_node,span_basis,caveat
yes,AR,Abric Romaní Level H,H,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start AR Level H,Boundary End AR Level H,regional modelled start-end boundaries,Final Middle Palaeolithic stratigraphic level modelled within the regional final-MP framework.
yes,AR,Abric Romaní Level E,E,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start AR Level E,Boundary End AR Level E,regional modelled start-end boundaries,Final Middle Palaeolithic stratigraphic level modelled within the regional final-MP framework.
yes,AR,Abric Romaní Level D,D,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start AR Level D,Boundary End AR Level D,regional modelled start-end boundaries,Final Middle Palaeolithic stratigraphic level modelled within the regional final-MP framework.
yes,AR,Abric Romaní Level B,B,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start AR Level B,Boundary End AR Level B,regional modelled start-end boundaries,Final Middle Palaeolithic stratigraphic level modelled within the regional final-MP framework.
yes,AR,Abric Romaní Level A,A,Protoaurignacian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start AR Level A,Boundary End AR Level A,regional modelled start-end boundaries,Diagnostic Protoaurignacian context in the regional model.
yes,CGSL,Cova Gran de Santa Linya S1B,S1B,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start S1B,Boundary End S1B,regional modelled start-end boundaries,Final Middle Palaeolithic comparator within the regional final-MP framework.
yes,CGSL,Cova Gran de Santa Linya 497D,497D,Non-diagnostic human presence,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start 497D,Boundary End 497D,regional modelled start-end boundaries,Laminar or early Upper Palaeolithic signal with unresolved cultural attribution.
yes,FO,Cova Foradada IV.1-IV,IV.1-IV,Chatelperronian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start FO Unit-IV.1-IV,Boundary End FO Unit-IV.1-IV,regional modelled start-end boundaries,Diagnostic Chatelperronian context with model-sensitive lower boundary.
yes,FO,Cova Foradada IIIc,IIIc,Aurignacian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start FO Unit-IIIc,Boundary End FO Unit-IIIc,regional modelled start-end boundaries,Early Aurignacian context represented as one span rather than separate boundary points.
yes,FO,Cova Foradada IIIn,IIIn,Gravettian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start FO Unit-IIIn,Boundary End FO Unit-IIIn,regional modelled start-end boundaries,Later Upper Palaeolithic reference within the Foradada sequence.
